# time command bytes address data
1995 READ 0x04 0x00000040 0x001
2005 WRITE 0x04 0x00004000 0x001
2115 READ 0x04 0x00000044 0x01
2125 WRITE 0x04 0x00004004 0x01
2225 READ 0x04 0x00000048 0x01
2235 WRITE 0x04 0x00004008 0x01
2335 READ 0x04 0x0000004c 0x01
2345 WRITE 0x04 0x0000400c 0x01
2445 READ 0x04 0x00000050 0x01
2455 WRITE 0x04 0x00004010 0x01
2555 READ 0x04 0x00000054 0x01
2565 WRITE 0x04 0x00004014 0x01
2665 READ 0x04 0x00000058 0x01
2675 WRITE 0x04 0x00004018 0x01
2775 READ 0x04 0x0000005c 0x01
2785 WRITE 0x04 0x0000401c 0x01
2885 READ 0x04 0x00000060 0x01
2895 WRITE 0x04 00004020 0x01
2995 READ 0x04 0x00000064 0x01
3005 WRITE 0x04 0x00004024 0x01
3105 READ 0x04 0x00000068 0x01
3115 WRITE 0x04 0x00004028 0x01
3215 READ 0x04 0x0000006c 0x01
3225 WRITE 0x04 0x0000402c 0x01
3325 READ 0x04 0x00000070 0x01
3335 WRITE 0x04 0x00004030 0x01
3435 READ 0x04 0x00000074 0x01
3445 WRITE 0x04 0x00004034 0x01
3545 READ 0x04 0x00000078 0x01
3555 WRITE 0x04 0x00004038 0x01
3655 READ 0x04 0x00000078 0x01
3735 READ 0x04 0x00000050 0x01
3735 READ 0x04 0x00000050 0x01
3875 READ 0x04 0x00000010 0x01
3885 WRITE 0x04 0x00001000 0x01
3985 READ 0x04 0x00000014 0x01
3995 WRITE 0x04 0x00001004 0x01
4095 READ 0x04 0x00000018 0x01
4105 WRITE 0x04 0x00001008 0x01
4205 READ 0x04 0x0000001c 0x01
4215 WRITE 0x04 0x0000100c 0x01
4315 READ 0x04 0x00000020 0x01
4325 WRITE 0x04 0x00001010 0x01
4425 READ 0x04 0x00000024 0x01
4435 WRITE 0x04 0x00001014 0x01
4535 READ 0x04 0x00000028 0x01
4545 WRITE 0x04 0x00001018 0x01
4645 READ 0x04 0x0000002c 0x01
4655 WRITE 0x04 0x0000101c 0x01
4755 READ 0x04 0x00000050 0x01
4755 READ 0x04 0x0000002c 0x01

