# time command bytes address data
1035 WRITE 0x04 0x40000010 0x00000020 
1045 WRITE 0x04 0x40000060 0x00000030 
1055 WRITE 0x04 0x40000090 0x00000040 
1995 READ  0x04 0x0000020  0x18243808 
2005 WRITE 0x04 0x00000030 0x18243808 
2105 READ  0x04 0x00000024 0x46a2182d 
2115 WRITE 0x04 0x00000034 0x46a2182d 
2215 READ  0x04 0x00000028 0x46ab1e67 
2225 WRITE 0x04 0x00000038 0x46ab1e67 
2325 READ  0x04 0x0000002c 0x465d4654 
2335 WRITE 0x04 0x0000003c 0x465d4654 
2435 READ  0x04 0x00000030 0xd10142ac 
2445 WRITE 0x04 0x00000040 0xd10142ac 
2545 READ  0x04 0x00000034 0xf824f000 
2555 WRITE 0x04 0x00000044 0xf824f000 
2655 READ  0x04 0x00000038 0x3e0f467e 
2665 WRITE 0x04 0x00000048 0x3e0f467e 
2765 READ  0x04 0x0000003c 0x46b6cc0f 
2775 WRITE 0x04 0x0000004c 0x46b6cc0f 
2875 READ  0x04 0x00000040 0x42332601 
2885 WRITE 0x04 0x00000050 0x42332601 
2985 READ  0x04 0x00000044 0x1afbd000 
2995 WRITE 0x04 0x00000054 0x1afbd000 
3095 READ  0x04 0x00000048 0x46ab46a2 
3105 WRITE 0x04 0x00000058 0x46ab46a2 
3205 READ  0x04 0x0000004c 0x47184333 
3215 WRITE 0x04 0x0000005c 0x47184333 
3315 READ  0x04 0x00000050 0x000000fc 
3325 WRITE 0x04 0x00000060 0x000000fc 
3425 READ  0x04 0x00000054 0x0000010c 
3435 WRITE 0x04 0x00000064 0x0000010c 
3535 READ  0x04 0x00000058 0x24002300 
3545 WRITE 0x04 0x00000068 0x24002300 
3645 READ  0x04 0x00000058 0x24002300 
3675 WRITE 0x04 0x40000000 0x0000000d 


